symbol,entry_ms,exit_ms,direction,entry_z,entry_price,exit_price,gross_ret,gross_pnl_usd,fee_usd,pnl_usd
ADAUSDT,1698652800000,1698670800000,-1,-1.10022391,0.29640000,0.29990000,-0.0118083671,-118.0837,24.0000,-142.0837
ADAUSDT,1701651600000,1701669600000,-1,-1.01771613,0.40400000,0.41050000,-0.0160891089,-160.8911,24.0000,-184.8911
ADAUSDT,1702105200000,1702123200000,-1,-1.07351232,0.62440000,0.63110000,-0.0107303011,-107.3030,24.0000,-131.3030
ADAUSDT,1704060000000,1704078000000,1,1.24278959,0.58920000,0.59560000,0.0108621860,108.6219,24.0000,84.6219
ADAUSDT,1704204000000,1704222000000,1,1.16019545,0.61320000,0.61460000,0.0022831050,22.8311,24.0000,-1.1689
ADAUSDT,1704225600000,1704243600000,1,1.03102193,0.60650000,0.61100000,0.0074196208,74.1962,24.0000,50.1962
ADAUSDT,1705258800000,1705276800000,1,1.24078600,0.53570000,0.53320000,-0.0046667911,-46.6679,24.0000,-70.6679
ADAUSDT,1705327200000,1705345200000,1,1.27679846,0.52550000,0.53410000,0.0163653663,163.6537,24.0000,139.6537
ADAUSDT,1705348800000,1705366800000,1,1.03452786,0.53220000,0.53160000,-0.0011273957,-11.2740,24.0000,-35.2740
ADAUSDT,1705410000000,1705428000000,1,1.12408817,0.53740000,0.53950000,0.0039077038,39.0770,24.0000,15.0770
ADAUSDT,1707746400000,1707764400000,-1,-1.04950607,0.54460000,0.55410000,-0.0174439956,-174.4400,24.0000,-198.4400
ADAUSDT,1707897600000,1707915600000,-1,-2.12622048,0.55840000,0.57800000,-0.0351002865,-351.0029,24.0000,-375.0029
ADAUSDT,1707915600000,1707933600000,-1,-2.03464178,0.57800000,0.57280000,0.0089965398,89.9654,24.0000,65.9654
ADAUSDT,1707955200000,1707973200000,-1,-1.64826912,0.58190000,0.57310000,0.0151228733,151.2287,24.0000,127.2287
ADAUSDT,1707991200000,1708009200000,-1,-1.66860445,0.58830000,0.59970000,-0.0193778684,-193.7787,24.0000,-217.7787
